Art Unit,Class,Class Title,Subclass From,Subclass To
1644,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,389.6,
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",144.1,
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",146.1,
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",150.1,151.1
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",157.1,
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",163.1,170.1
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",176.1,184.1
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",190.1,191.1
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",193.1,197.11
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",200.1,201.1
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",234.1,274.1
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",282.1,283.1
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",802,803
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",810,
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",812,
1645,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",823,832
1645,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,257.2,
1645,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,317.1,
1645,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,332,333
1645,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,340,
1645,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,342,
1645,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,7.22,
1645,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,7.3,7.4
1645,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,821,
1645,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,388.4,
1645,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,388.6,
1645,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,389.5,
1645,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,389.8,
1645,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,390.5,391.5
1645,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,391.9,394
1645,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,400,427
1645,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,800,859
1646,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",145.1,
1646,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",158.1,
1646,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",85.1,85.7
1646,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,334,336
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",10.7,10.8
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",11.3,11.5
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",12.4,
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",12.7,
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",16.1,
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",16.4,17.1
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",18.3,18.5
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",18.9,
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",20.6,
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",21.2,
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",5.1,
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",5.3,
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",5.8,5.9
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",7.5,8.2
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",8.5,9.2
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",9.4,10.3
1646,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",FOR 000,
1646,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,350,351
1646,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,395,
1646,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,397,399
1646,536,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,23.2,23.4
1646,536,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,23.51,
1646,930,PEPTIDE OR PROTEIN SEQUENCE,140,145
1646,930,PEPTIDE OR PROTEIN SEQUENCE,50,
1646,930,PEPTIDE OR PROTEIN SEQUENCE,90,
1647,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",130.1,
1647,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",185.1,
1647,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",198.1,
1648,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",147.1,149.1
1648,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",159.1,162.1
1648,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",186.1,189.1
1648,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",199.1,
1648,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",202.1,233.1
1648,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",281.1,
1648,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",813,822
1648,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,235.1,239
1648,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,339,339.1
1648,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,456,457
1648,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,5,
1648,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,389.4,
1648,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,390.1,
1649,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",17.3,18.2
1649,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",5.2,
1649,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",8.3,8.4
1649,800,MULTICELLULAR LIVING ORGANISMS AND UNMODIFIED PARTS THEREOF AND RELATED PROCESSES,FOR 000,
1649,800,MULTICELLULAR LIVING ORGANISMS AND UNMODIFIED PARTS THEREOF AND RELATED PROCESSES,FOR 104,
1652,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,183,234
1652,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,71.1,71.2
1652,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,94,171
1652,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,396,
1653,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",93.1,
1653,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",93.3,122
1653,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",FOR 000,
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,1.1,2
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,173.1,182
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,242,252.2
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,252.4,254.1
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,255.1,257.1
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,257.3,261
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,326,
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,346,357
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,361,408
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,70.1,70.5
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,71.3,90
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,8,68.1
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,803,804
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,815,816
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,818,
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,820,
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,822,948
1653,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,92,93
1653,536,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,FOR 000,
1654,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",FOR 100,FOR 128
1655,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",520,569
1655,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",571,583
1655,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",725,780
1656,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",192.1,
