patentId,artUnit,examinerName,filingDate,issueDate
6772132,3624,"WEISBERGER, RICHARD C",2000-06-09,2004-08-03
6766304,3624,"WEISBERGER, RICHARD C",2001-06-27,2004-07-20
7685055,3693,"WEISBERGER, RICHARD C",2006-05-03,2010-03-23
7389241,3629,"OUELLETTE, JONATHAN P",2002-04-09,2008-06-17
8396791,3692,"MADAMBA, CLIFFORD B",2011-11-17,2013-03-12
7273168,2876,"PAIK, STEVEN SANGYUL",2004-10-08,2007-09-25
7827099,3695,"MADAMBA, CLIFFORD B",2004-11-23,2010-11-02
7617116,3686,"PASS, NATALIE",2001-08-03,2009-11-10
7441196,2174,"KE, PENG",2006-03-13,2008-10-21
8086529,3695,"MADAMBA, CLIFFORD B",2011-03-30,2011-12-27
8005752,3695,"MADAMBA, CLIFFORD B",2010-10-25,2011-08-23
7273168,2876,"PAIK, STEVEN SANGYUL",2004-10-08,2007-09-25
7895059,3686,"NAJARIAN, LENA",2010-02-11,2011-02-22
8457988,3686,"NAJARIAN, LENA",2012-08-27,2013-06-04
7668730,3686,"NAJARIAN, LENA",2002-12-17,2010-02-23
8589182,3686,"NAJARIAN, LENA",2012-08-27,2013-11-19
8285607,3627,"HAIDER, FAWAAD",2006-12-01,2012-10-09
8489245,2121,"SHECHTMAN, SEAN P",2010-02-05,2013-07-16
7711100,3687,"RUDY, ANDREW J",2006-04-17,2010-05-04
6314409,3662,"GREGORY, BERNARR E",1998-10-26,2001-11-06
8606658,3687,"IWARERE, OLUSEYE",2008-09-04,2013-12-10
8396808,3687,"LUDWIG, PETER L",2009-12-17,2013-03-12
5745574,3642,"CAIN, DAVID C",1995-12-15,1998-04-28
7765106,3686,"NAJARIAN, LENA",2004-11-02,2010-07-27
8484111,3694,"APPLE, KIRSTEN SACHWITZ",2010-10-26,2013-07-09
7860222,2614,"TIEU, BINH KIEN",2006-06-30,2010-12-28
7356482,3694,"CHEUNG, MARY DA ZHI WANG",2001-03-01,2008-04-08
7035914,2154,"DONAGHUE, LARRY D",1999-07-09,2006-04-25
7912740,3687,"FRENEL, VANEL",2004-11-01,2011-03-22
8468038,3687,"FRENEL, VANEL",2012-05-03,2013-06-18
8200513,3687,"FRENEL, VANEL",2011-02-14,2012-06-12
7765107,3686,"NAJARIAN, LENA",2005-04-01,2010-07-27
6950807,3627,"LANEAU, RONALD",2001-12-31,2005-09-27
6237095,2437,"SMITHERS, MATTHEW",1998-01-06,2001-05-22
6105013,3662,"GREGORY, BERNARR E",1998-03-10,2000-08-15
5940510,2131,"CHACE, CHRISTIAN",1996-01-31,1999-08-17
5949880,2131,"CHACE, CHRISTIAN",1997-11-26,1999-09-07
8095413,3623,"MCPHILLIP, ADRIAN J",1999-05-14,2012-01-10
8402281,2494,"ABRISHAMKAR, KAVEH",2010-10-29,2013-03-19
5490216,2131,"CHACE, CHRISTIAN",1993-09-21,1996-02-06
7818214,3688,"CHAMPAGNE, DONALD",2005-02-08,2010-10-19
8027883,3688,"CHAMPAGNE, DONALD",2010-10-19,2011-09-27
7346768,2132,"PEESO, THOMAS R",2006-05-25,2008-03-18
7178020,2132,"PEESO, THOMAS R",2002-07-17,2007-02-13
7577578,3687,"RUDY, ANDREW J",2001-12-05,2009-08-18
7631336,2425,"OKEKE, ONYEDIKA C",2007-03-12,2009-12-08
7334720,2876,"PAIK, STEVEN SANGYUL",2006-01-19,2008-02-26
8033458,2887,"LE, THIEN MINH",2010-11-10,2011-10-11
8061598,2887,"LE, THIEN MINH",2011-01-24,2011-11-22
8118221,2887,"LE, THIEN MINH",2010-11-10,2012-02-21
7334720,2876,"PAIK, STEVEN SANGYUL",2006-01-19,2008-02-26
8033458,2887,"LE, THIEN MINH",2010-11-10,2011-10-11
8061598,2887,"LE, THIEN MINH",2011-01-24,2011-11-22
8118221,2887,"LE, THIEN MINH",2010-11-10,2012-02-21
8336772,2887,"LE, THIEN MINH",2011-08-17,2012-12-25
7827099,3695,"MADAMBA, CLIFFORD B",2004-11-23,2010-11-02
7827099,3695,"MADAMBA, CLIFFORD B",2004-11-23,2010-11-02
8005752,3695,"MADAMBA, CLIFFORD B",2010-10-25,2011-08-23
8336772,2887,"LE, THIEN MINH",2011-08-17,2012-12-25
7194468,2168,"ROBINSON, GRETA LEE",2002-04-01,2007-03-20
6321201,2161,"COSIMANO, EDWARD R",1998-02-23,2001-11-20
6658464,2184,"PEYTON, TAMMARA R",2000-04-20,2003-12-02
6557054,2182,"PEYTON, TAMMARA R",2000-04-20,2003-04-29
8402281,2494,"ABRISHAMKAR, KAVEH",2010-10-29,2013-03-19
8195578,3621,"MANDEL, MONICA A",2009-08-11,2012-06-05
7631191,2434,"POWERS, WILLIAM S",2006-06-09,2009-12-08
8402281,2494,"ABRISHAMKAR, KAVEH",2010-10-29,2013-03-19
6985922,2143,"DENNISON, JERRY B",2001-12-21,2006-01-10
5995947,3693,"MERCHANT, SHAHID R",1997-09-12,1999-11-30
5793302,2683,"ZIMMERMAN, BRIAN A",1996-11-12,1998-08-11
6321201,2161,"COSIMANO, EDWARD R",1998-02-23,2001-11-20
8118221,2887,"LE, THIEN MINH",2010-11-10,2012-02-21
8033458,2887,"LE, THIEN MINH",2010-11-10,2011-10-11
8061598,2887,"LE, THIEN MINH",2011-01-24,2011-11-22
7942317,2887,"LE, THIEN MINH",2008-01-15,2011-05-17
8572279,2454,"DONAGHUE, LARRY D",2011-01-31,2013-10-29
8601154,2454,"DONAGHUE, LARRY D",2011-01-31,2013-12-03
6321201,2161,"COSIMANO, EDWARD R",1998-02-23,2001-11-20
8301466,3626,"CHNG, JOY POH  AI",2011-03-07,2012-10-30
7099849,3621,"CHEUNG, MARY DA ZHI WANG",2001-12-28,2006-08-29
8494917,3683,"MISIASZEK, MICHAEL",2011-09-20,2013-07-23
8050982,3625,"MISIASZEK, MICHAEL",2005-10-28,2011-11-01
6193520,3713,"CHENG, JOE H",1998-07-02,2001-02-27
7631191,2434,"POWERS, WILLIAM S",2006-06-09,2009-12-08
7334720,2876,"PAIK, STEVEN SANGYUL",2006-01-19,2008-02-26
7334720,2876,"PAIK, STEVEN SANGYUL",2006-01-19,2008-02-26
6321201,2161,"COSIMANO, EDWARD R",1998-02-23,2001-11-20
8336772,2887,"LE, THIEN MINH",2011-08-17,2012-12-25
8336772,2887,"LE, THIEN MINH",2011-08-17,2012-12-25
8336772,2887,"LE, THIEN MINH",2011-08-17,2012-12-25
6996538,3627,"MCALLISTER, STEVEN B",2001-03-07,2006-02-07
7631191,2434,"POWERS, WILLIAM S",2006-06-09,2009-12-08
7774280,3621,"WEST, THOMAS C",2004-10-04,2010-08-10
8583556,3685,"AUGUSTIN, EVENS J",2011-08-15,2013-11-12
8583556,3685,"AUGUSTIN, EVENS J",2011-08-15,2013-11-12
8001053,3621,"AUGUSTIN, EVENS J",2004-10-04,2011-08-16
5793302,2683,"ZIMMERMAN, BRIAN A",1996-11-12,1998-08-11
8583556,3685,"AUGUSTIN, EVENS J",2011-08-15,2013-11-12
8583556,3685,"AUGUSTIN, EVENS J",2011-08-15,2013-11-12
5664110,2411,"POINVIL, FRANTZY",1994-12-08,1997-09-02
7062749,2193,"INGBERG, TODD D",2000-12-15,2006-06-13
7603674,2194,"HO, ANDY",2006-04-05,2009-10-13
8527407,3691,"HAMILTON, LALITA M",2011-08-20,2013-09-03
8744963,3691,"HAMILTON, LALITA M",2012-11-30,2014-06-03
6292547,2643,"WOO, STELLA L",1999-03-15,2001-09-18
7461049,2163,"NGUYEN, MERILYN P",2003-09-25,2008-12-02
6810401,2172,"WOO, ISAAC M",2000-10-10,2004-10-26
6766304,3624,"WEISBERGER, RICHARD C",2001-06-27,2004-07-20
6772132,3624,"WEISBERGER, RICHARD C",2000-06-09,2004-08-03
8336772,2887,"LE, THIEN MINH",2011-08-17,2012-12-25
6792373,2863,"BUI, BRYAN",2002-05-24,2004-09-14
7024387,3625,"THOMPSON JR, FOREST",2000-10-26,2006-04-04
