patentId,Art Unit,Examiner Name

"8396791,3692,""MADAMBA, CLIFFORD B"""

"7273168,2876,""PAIK, STEVEN SANGYUL"""

"7827099,3695,""MADAMBA, CLIFFORD B"""

"7617116,3686,""PASS, NATALIE"""

"7441196,2174,""KE, PENG"""

"8086529,3695,""MADAMBA, CLIFFORD B"""

"8005752,3695,""MADAMBA, CLIFFORD B"""

"7273168,2876,""PAIK, STEVEN SANGYUL"""

"7895059,3686,""NAJARIAN, LENA"""

"8457988,3686,""NAJARIAN, LENA"""

"7668730,3686,""NAJARIAN, LENA"""

"8589182,3686,""NAJARIAN, LENA"""

"8285607,3627,""HAIDER, FAWAAD"""

"8489245,2121,""SHECHTMAN, SEAN P"""

"7711100,3687,""RUDY, ANDREW J"""

"6314409,3662,""GREGORY, BERNARR E"""

"8606658,3687,""IWARERE, OLUSEYE"""

"8396808,3687,""LUDWIG, PETER L"""

"5745574,3642,""CAIN, DAVID C"""

"7765106,3686,""NAJARIAN, LENA"""

"8484111,3694,""APPLE, KIRSTEN SACHWITZ"""

"7860222,2614,""TIEU, BINH KIEN"""

"7356482,3694,""CHEUNG, MARY DA ZHI WANG"""

"7035914,2154,""DONAGHUE, LARRY D"""

"7912740,3687,""FRENEL, VANEL"""

"8468038,3687,""FRENEL, VANEL"""

"8200513,3687,""FRENEL, VANEL"""

"7765107,3686,""NAJARIAN, LENA"""

"6950807,3627,""LANEAU, RONALD"""

"6237095,2437,""SMITHERS, MATTHEW"""

"6105013,3662,""GREGORY, BERNARR E"""

"5940510,2131,""CHACE, CHRISTIAN"""

"5949880,2131,""CHACE, CHRISTIAN"""

"8095413,3623,""MCPHILLIP, ADRIAN J"""

"8402281,2494,""ABRISHAMKAR, KAVEH"""

"5490216,2131,""CHACE, CHRISTIAN"""

"7818214,3688,""CHAMPAGNE, DONALD"""

"8027883,3688,""CHAMPAGNE, DONALD"""

"7346768,2132,""PEESO, THOMAS R"""

"7178020,2132,""PEESO, THOMAS R"""

"7577578,3687,""RUDY, ANDREW J"""

"7631336,2425,""OKEKE, ONYEDIKA C"""

"7334720,2876,""PAIK, STEVEN SANGYUL"""

"8033458,2887,""LE, THIEN MINH"""

"8061598,2887,""LE, THIEN MINH"""

"8118221,2887,""LE, THIEN MINH"""

"7334720,2876,""PAIK, STEVEN SANGYUL"""

"8033458,2887,""LE, THIEN MINH"""

"8061598,2887,""LE, THIEN MINH"""

"8118221,2887,""LE, THIEN MINH"""

"8336772,2887,""LE, THIEN MINH"""

"7827099,3695,""MADAMBA, CLIFFORD B"""

"7827099,3695,""MADAMBA, CLIFFORD B"""

"8005752,3695,""MADAMBA, CLIFFORD B"""

"8336772,2887,""LE, THIEN MINH"""

"7194468,2168,""ROBINSON, GRETA LEE"""

"6321201,2161,""COSIMANO, EDWARD R"""

"6658464,2184,""PEYTON, TAMMARA R"""

"6557054,2182,""PEYTON, TAMMARA R"""

"8402281,2494,""ABRISHAMKAR, KAVEH"""

"8195578,3621,""MANDEL, MONICA A"""

"7631191,2434,""POWERS, WILLIAM S"""

"8402281,2494,""ABRISHAMKAR, KAVEH"""

"6985922,2143,""DENNISON, JERRY B"""

"5995947,3693,""MERCHANT, SHAHID R"""

"5793302,2683,""ZIMMERMAN, BRIAN A"""

"6321201,2161,""COSIMANO, EDWARD R"""

"8118221,2887,""LE, THIEN MINH"""

"8033458,2887,""LE, THIEN MINH"""

"8061598,2887,""LE, THIEN MINH"""

"7942317,2887,""LE, THIEN MINH"""

"8572279,2454,""DONAGHUE, LARRY D"""

"8601154,2454,""DONAGHUE, LARRY D"""

"6321201,2161,""COSIMANO, EDWARD R"""

"8301466,3626,""CHNG, JOY POH  AI"""

"7099849,3621,""CHEUNG, MARY DA ZHI WANG"""

"8494917,3683,""MISIASZEK, MICHAEL"""

"8050982,3625,""MISIASZEK, MICHAEL"""

"6193520,3713,""CHENG, JOE H"""

"7631191,2434,""POWERS, WILLIAM S"""

"7334720,2876,""PAIK, STEVEN SANGYUL"""

"7334720,2876,""PAIK, STEVEN SANGYUL"""

"6321201,2161,""COSIMANO, EDWARD R"""
